RMS Velocity (mm/s),Stiffness ratio,Equivalent Stress Maximum [MPa]
11.57691516,0.1,18.4859685
12.00036518,0.1,19.152443
0.70928107,0.1,1.144939188
0.816620304,0.1,1.323717531
0.9988565,0.1,1.615473563
1.150427153,0.1,1.855438469
1.297708135,0.1,2.08960475
1.487191068,0.1,2.394785125
1.600681106,0.1,2.576645125
1.789900474,0.1,2.879752625
1.935821492,0.1,3.113376625
2.081909683,0.1,3.3464835
2.267166041,0.1,3.643100438
2.373658586,0.1,3.81383725
2.560015768,0.1,4.11104125
2.694170456,0.1,4.324945063
2.832936123,0.1,4.543856438
3.006004263,0.1,4.819759625
0.158590963,0.1,0.319598273
